frame,x,y,xVelocity,yVelocity,thetayaw,timestamp,speed_mps,steering_percentage,accx,accy
2,458545.3089269505,4399963.447370575,-2.5841688831058653,-5.30531159656423,-2.029625639156471,1676356753.1182957,5.877777576446533,-15.021276473999023,-0.7167585968855179,0.7089339937631989
3,458545.0146535262,4399962.86196578,-2.6346788871366944,-5.229087937866006,-2.0476622723126017,1676356753.228247,5.838889122009277,-17.404254913330078,-0.4639613274403289,0.7384403470904205
4,458544.75727293885,4399962.367632745,-2.701184437507115,-5.150968264590568,-2.0655778639331697,1676356753.3282576,5.8027777671813965,-19.46808433532715,-0.8506356062165565,0.9092526164959511
5,458544.47002628894,4399961.8410764905,-2.795371118464072,-5.055325217000701,-2.0870228388451277,1676356753.428272,5.775000095367432,-20.744680404663086,-1.1557730524065926,0.985004839233911
6,458544.24173601036,4399961.443032583,-2.878842769876656,-4.9823505533839265,-2.1045063099882215,1676356753.508286,5.744444370269775,-22.042552947998047,-0.8668145590216128,0.866682759636952
7,458543.93565100397,4399960.931941717,-2.9670255425932064,-4.898970886186009,-2.128693892292281,1676356753.6283576,5.724999904632568,-23.70212745666504,-0.9202248070662573,0.9052490360268048
8,458543.61975527246,4399960.429036575,-3.0563110407924445,-4.810826539850703,-2.1548914704847455,1676356753.7283256,5.702777862548828,-25.382978439331055,-0.7666967142913483,0.6352122871282011
9,458543.3196638839,4399959.973582931,-3.15255223303578,-4.710308187793886,-2.1805000939780834,1676356753.8283362,5.683333396911621,-26.4255313873291,-1.0937205991190933,1.0523478962036714
10,458542.98163676116,4399959.49244543,-3.302824227903316,-4.568582775399034,-2.2089598646927158,1676356753.9283063,5.650000095367432,-27.893617630004883,-1.3157738329023614,1.6343350549372961
11,458542.6015674423,4399958.990024989,-3.4302209074182324,-4.450593313318113,-2.2406239823838874,1676356754.0283241,5.650000095367432,-29.680850982666016,-0.9357167390993602,0.8030764043634252
12,458542.26685178775,4399958.564173627,-3.510353157494765,-4.392766487972896,-2.27039988027777,1676356754.128241,5.636111259460449,-32.1489372253418,-0.9051928441844459,0.8774145828211144
13,458541.95125390106,4399958.183178057,-3.61684763570604,-4.294472736647885,-2.300363771056662,1676356754.2283347,5.644444465637207,-33.74468231201172,-1.555759868760879,1.3968078993877142
14,458541.5332021071,4399957.714255256,-3.8037417731767427,-4.115287746628297,-2.3400329392682124,1676356754.3282857,5.650000095367432,-35.319149017333984,-1.7278101735600493,1.6414055941780976
15,458541.1259856822,4399957.297398864,-3.9739764479677535,-3.9436425361358647,-2.3772573348777843,1676356754.4282715,5.661110877990723,-36.212764739990234,-1.4167644968388855,1.2964542600055649
16,458540.7366965416,4399956.926006909,-4.080956803113407,-3.8442810433419488,-2.413549391759104,1676356754.5282762,5.6777777671813965,-36.63829803466797,-1.0188751732010652,0.8634663160907103
17,458540.30192085844,4399956.536192441,-4.243173734561379,-3.68712252581613,-2.454271643992037,1676356754.6282854,5.686110973358154,-37.36170196533203,-1.5040976556453551,1.7373497509572091
18,458539.886184911,4399956.191697267,-4.386029151433968,-3.536057595701043,-2.4921311690211105,1676356754.7283387,5.686110973358154,-38.787235260009766,-1.6044206831524792,1.5829669036686833
19,458539.49434183957,4399955.887729914,-4.494585659597269,-3.4075439688950193,-2.5281013406446506,1676356754.828385,5.711111068725586,-39.61701965332031,-1.463643204307746,1.9009175570506245
20,458538.97864555416,4399955.5223759655,-4.67898328579888,-3.169532749657974,-2.574994411753674,1676356754.9283302,5.724999904632568,-40.0,-1.5546856423971138,2.0614176295015216
21,458538.5595973571,4399955.253287664,-4.813597475794401,-2.999485465236441,-2.6122974735820295,1676356755.0282965,5.733333110809326,-40.65957260131836,-1.5144302606502418,1.9193716786508455
22,458538.0468994648,4399954.948904389,-4.9802964444376725,-2.8132210998768628,-2.6572483958800035,1676356755.128355,5.758333206176758,-41.46808624267578,-1.5749866722742327,2.006073200820649
23,458573.1276322005,4400040.181113728,-1.3325278097063373,-4.646184375234682,-1.8472950733529085,1676356740.6522946,4.761111259460449,-3.4255318641662598,-0.1933239970083267,-0.3124759301451392
24,458572.985257446,4400039.697144955,-1.3559310949104741,-4.6797487997882214,-1.8501231782954957,1676356740.7622635,4.797222137451172,-3.6382977962493896,-0.17842041297752467,-0.370402550114797
25,458572.8409194176,4400039.209559751,-1.375012263053451,-4.713933432361452,-1.8532377102956357,1676356740.8623354,4.838889122009277,-3.957446813583374,-0.3305505167325982,-0.30453209060842545
26,458572.70510986523,4400038.756725528,-1.4022698271375973,-4.739760160020436,-1.8562699769420838,1676356740.9623399,4.875,-4.106382846832275,-0.22880117339942585,-0.29633129664234253
27,458572.5557947408,4400038.259382901,-1.438071856954435,-4.778041687790876,-1.8595199435597385,1676356741.0623403,4.9083333015441895,-4.404255390167236,-0.3472260488154173,-0.28293880461630233
